title,rating,ratingDescription,release year,user rating score,user rating size
Orange Is the New Black,TV-MA,110,2016,98.0,80
Inside Russia's Toughest Prison,TV-14,90,2011,93.0,82
Bates Motel,TV-14,90,2016,83.0,80
Grace and Frankie,TV-MA,110,2017,90.0,80
How to Get Away with Murder,TV-14,90,2016,95.0,80
The Get Down,TV-MA,110,2017,80.0,80
Love,TV-MA,110,2017,83.0,82
The OA,TV-MA,110,2016,98.0,82
Stranger Things,TV-14,90,2016,90.0,80
Ingobernable,TV-MA,110,2017,96.0,80
Zootopia,PG,60,2016,97.0,80
Meet the Blacks,R,100,2016,79.0,80
Finding Dory,PG,60,2016,98.0,80
Sausage Party,R,100,2016,91.0,80
Pete's Dragon,PG,60,2016,93.0,80
Kevin Hart: What Now?,R,100,2016,97.0,80
The Discovery,TV-MA,110,2017,61.0,82
Chewing Gum,TV-MA,110,2017,93.0,80
Cheer Squad,TV-PG,70,2016,61.0,80
Only for One Night,TV-MA,110,2016,78.0,80
The Life Aquatic with Steve Zissou,R,100,2004,84.0,82
The L Word,TV-MA,110,2009,93.0,82
30 Rock,TV-14,90,2012,66.0,80
Mad Men,TV-14,90,2014,75.0,80
It's Always Sunny in Philadelphia,TV-MA,110,2016,91.0,80
Californication,TV-MA,110,2014,63.0,80
Portlandia,TV-14,90,2016,62.0,80
Don't Trust the B---- in Apartment 23,TV-14,90,2012,73.0,82
Friends with Benefits,TV-14,90,2011,71.0,82
The Client List,TV-14,90,2013,92.0,80
Halt and Catch Fire,TV-14,90,2016,85.0,82
5 to 7,R,100,2014,70.0,82
Chef's Table,TV-MA,110,2017,86.0,82
Documentary Now!,TV-14,90,2016,77.0,82
Better Call Saul,TV-MA,110,2016,95.0,80
Schitt's Creek,TV-14,90,2016,74.0,80
Lovesick,TV-MA,110,2016,86.0,82
Flaked,TV-MA,110,2016,64.0,82
Master of None,TV-MA,110,2015,60.0,82
Chelsea,TV-MA,110,2017,83.0,82
Abstract: The Art of Design,TV-14,90,2017,78.0,82
Cooper Barrett's Guide to Surviving Life,TV-14,90,2016,73.0,82
The Great British Baking Show,TV-PG,70,2016,94.0,80
Life in Pieces,TV-14,90,2015,68.0,80
Crazy Ex-Girlfriend,TV-14,90,2017,62.0,82
Easy,TV-MA,110,2016,66.0,82
No Tomorrow,TV-14,90,2016,93.0,82
Minimalism: A Documentary About the Important Things,TV-PG,70,2016,95.0,82
Hot Girls Wanted: Turned On,TV-MA,110,2017,92.0,82
Win It All,TV-MA,110,2017,45.0,82
MerlÌ?,TV-PG,70,2015,68.0,82
Amy Schumer: The Leather Special,TV-MA,110,2017,85.0,82
Louis C.K. 2017,TV-MA,110,2017,71.0,80
Dave Chappelle,TV-MA,110,2017,94.0,80
Almost Adults,NR,124,2016,97.0,82
The Brothers,R,100,2001,82.0,82
Skins,TV-MA,110,2013,51.0,82
The Cleveland Show,TV-14,90,2012,88.0,80
Absolutely Fabulous,TV-14,90,2012,59.0,80
Raising Hope,TV-14,90,2013,73.0,80
Come Fly With Me,TV-14,90,2010,46.0,82
Brickleberry,TV-MA,110,2014,63.0,80
BoJack Horseman,TV-MA,110,2016,52.0,82
Being Mary Jane: The Series,TV-14,90,2016,66.0,82
Unbreakable Kimmy Schmidt,TV-14,90,2016,61.0,82
Bordertown,TV-14,90,2016,86.0,80
Jane The Virgin,TV-14,90,2016,91.0,80
Dope,R,100,2015,79.0,80
The Carmichael Show,TV-14,90,2016,69.0,80
November Rule,TV-14,90,2015,78.0,82
Haters Back Off,TV-14,90,2016,58.0,80
Kubo and the Two Strings,PG,60,2016,96.0,80
Skins,TV-MA,110,2017,69.0,82
A Weekend with the Family,TV-MA,110,2016,67.0,82
Crazyhead,TV-MA,110,2016,74.0,82
Queen of Katwe,PG,60,2016,58.0,81
Little Boxes,TV-14,90,2016,61.0,80
Deidra & Laney Rob a Train,TV-14,90,2017,91.0,82
Hurricane Bianca,TV-MA,110,2016,50.0,82
Honeytrap,NR,124,2014,55.0,82
Greenleaf,TV-14,90,2016,62.0,80
Lazy Eye,TV-MA,110,2016,97.0,82
Like Cotton Twines,NR,124,2016,56.0,82
The Wedding Party,TV-14,90,2016,45.0,82
Boy Bye,TV-MA,110,2016,81.0,82
Nancy Drew,PG,60,2007,97.0,82
Nurse Jackie,TV-MA,110,2015,82.0,80
Drop Dead Diva,TV-PG,70,2014,85.0,82
Gilmore Girls,TV-14,90,2006,91.0,80
Parenthood,TV-14,90,2014,79.0,80
Life Unexpected,TV-PG,70,2010,55.0,80
Being Human (U.S.),TV-14,90,2014,58.0,80
The Carrie Diaries,TV-14,90,2013,69.0,82
Baby Daddy,TV-14,90,2016,80.0,80
The Angriest Man in Brooklyn,R,100,2014,83.0,82
Sense8,TV-MA,110,2017,81.0,80
Girlfriends' Guide to Divorce,TV-14,90,2015,63.0,80
Fried,TV-MA,110,2015,76.0,82
The Great Gilly Hopkins,PG,60,2016,69.0,80
The Magicians,TV-MA,110,2016,89.0,80
One Day at a Time,TV-PG,70,2017,95.0,82
Better Off Single,TV-MA,110,2016,62.0,82
The Matchbreaker,PG,60,2016,79.0,80
Tramps,TV-MA,110,2017,64.0,82
Slam,TV-MA,110,2017,61.0,82
The Waterboy,PG-13,80,1998,82.0,80
10 Things I Hate About You,PG-13,80,1999,68.0,80
Grease,PG,60,1978,86.0,80
How to Lose a Guy in 10 Days,PG-13,80,2003,56.0,80
The Benchwarmers,PG-13,80,2006,77.0,80
Step Up,PG-13,80,2006,64.0,80
High School Musical 2,TV-G,35,2007,58.0,80
Twilight,PG-13,80,2008,89.0,80
Coraline,PG,60,2009,95.0,80
Hannah Montana: The Movie,G,35,2009,56.0,80
Friday Night Lights,TV-PG,70,2010,81.0,80
StarStruck,TV-G,35,2010,50.0,82
Mean Girls 2,PG-13,80,2011,56.0,82
That '70s Show,TV-14,90,2005,89.0,80
Heartland,TV-PG,70,2015,85.0,80
Switched at Birth,TV-14,90,2015,83.0,80
Hart of Dixie,TV-PG,70,2014,81.0,80
Safe Haven,PG-13,80,2013,62.0,80
The Night Shift,TV-14,90,2015,93.0,80
Reign,TV-14,90,2015,79.0,80
Fuller House,TV-G,35,2016,90.0,80
Gilmore Girls: A Year in the Life,TV-14,90,2016,77.0,80
Gabriel lglesias: I‰Ûªm Sorry For What I Said When I Was Hungry,TV-14,90,2016,84.0,80
The Wedding Planner,PG-13,80,2001,53.0,82
Blow,R,100,2001,78.0,80
High School Musical,TV-G,35,2006,64.0,80
Bones,TV-14,90,2016,97.0,80
Law & Order: Special Victims Unit,TV-14,90,2015,97.0,80
NCIS,TV-14,90,2016,97.0,80
Army Wives,TV-14,90,2013,61.0,80
Private Practice,TV-14,90,2012,88.0,80
Revenge,TV-PG,70,2015,84.0,80
Scandal,TV-14,90,2016,92.0,80
Magic Mike,R,100,2012,77.0,80
Trouble with the Curve,PG-13,80,2012,63.0,80
Home,PG,60,2015,94.0,80
Skin Wars,TV-14,90,2016,69.0,80
Felipe Neto: My Life Makes No Sense,TV-MA,110,2017,86.0,82
Lost,TV-14,90,2010,98.0,80
Weeds,TV-MA,110,2012,85.0,80
The Tudors,TV-MA,110,2010,54.0,82
Lie to Me,TV-14,90,2010,89.0,80
Charmed,TV-PG,70,2005,90.0,80
White Collar,TV-PG,70,2014,93.0,80
House of Cards,TV-MA,110,2016,91.0,80
The Killing,TV-14,90,2014,73.0,80
Unconditional,PG-13,80,2012,53.0,82
The Blacklist,TV-14,90,2016,96.0,80
The Fosters,TV-14,90,2016,73.0,80
Witches of East End,TV-14,90,2014,86.0,82
Bitten,TV-MA,110,2016,56.0,80
London Has Fallen,R,100,2016,96.0,80
Marvel's Jessica Jones,TV-MA,110,2015,83.0,80
Bloodline,TV-MA,110,2016,67.0,82
Velvet,TV-14,90,2016,70.0,82
The Crown,TV-MA,110,2016,84.0,80
Kurt Seyit & Sura,TV-14,90,2014,50.0,82
The Returned,TV-14,90,2015,79.0,82
The Girl in the Book,TV-MA,110,2015,91.0,82
Quantico,TV-14,90,2016,88.0,80
100 Metros,TV-MA,110,2016,81.0,82
Dexter,TV-MA,110,2013,95.0,80
Leverage,TV-PG,70,2012,86.0,80
Burn Notice,TV-14,90,2013,85.0,80
Luther,TV-14,90,2015,69.0,80
Hawaii Five-0,TV-14,90,2016,96.0,80
Last Man Standing,TV-PG,70,2015,97.0,80
Person of Interest,TV-14,90,2016,93.0,80
Touch,TV-14,90,2012,68.0,80
Breakout Kings,TV-14,90,2012,88.0,80
The Following,TV-14,90,2015,61.0,82
"Drugs, Inc.",TV-14,90,2015,88.0,82
Longmire,TV-14,90,2016,92.0,80
Ripper Street,TV-MA,110,2016,80.0,82
The Fall,TV-MA,110,2016,61.0,80
Death in Paradise,TV-14,90,2016,77.0,80
Marvel's Agents of S.H.I.E.L.D.,TV-PG,70,2016,89.0,80
Crossing Lines,TV-14,90,2015,66.0,80
The Honorable Woman,TV-MA,110,2014,76.0,82
Transporter: The Series,TV-MA,110,2014,53.0,82
Gotham,TV-14,90,2016,85.0,80
American Odyssey,TV-14,90,2015,76.0,82
Aquarius,TV-MA,110,2015,62.0,82
Hap and Leonard,TV-MA,110,2016,57.0,80
Rosewood,TV-14,90,2015,81.0,80
Limitless,TV-14,90,2016,84.0,80
Travelers,TV-MA,110,2016,86.0,80
The Doctor Blake Mysteries,TV-MA,110,2016,57.0,80
I.T,NR,124,2016,61.0,82
Bordertown,TV-MA,110,2016,74.0,82
The West Wing,TV-14,90,2005,79.0,80
Blue Bloods,TV-14,90,2016,95.0,80
Forensic Files,TV-14,90,2011,88.0,80
Rectify,TV-14,90,2016,63.0,82
American Crime,TV-14,90,2016,69.0,82
Madam Secretary,TV-14,90,2016,70.0,80
American Crime Story: The People v. O.J. Simpson,TV-MA,110,2016,79.0,80
The Nightmare Before Christmas,PG,60,1993,84.0,80
Scooby-Doo,PG,60,2002,86.0,80
Chicken Little,G,35,2005,92.0,80
Teenage Mutant Ninja Turtles,PG,60,2007,87.0,82
Star Wars: The Clone Wars,PG,60,2008,57.0,80
The Smurfs and the Magic Flute,G,35,1976,45.0,82
We're Back! A Dinosaur's Story,G,35,1993,68.0,82
Thomas & Friends: Thomas & the Runaway Kite,TV-Y,10,2010,95.0,82
Dino Squad,TV-Y7,41,2008,69.0,82
Cars Toons: Mater's Tall Tales,TV-G,35,2010,74.0,80
LeapFrog: The Amazing Alphabet Amusement Park,TV-Y,10,2010,67.0,82
Star Wars: The Clone Wars,TV-PG,70,2014,93.0,80
Phineas and Ferb,TV-G,35,2012,89.0,80
The Batman,TV-Y7,41,2007,77.0,80
Justice League,TV-Y7-FV,42,2003,66.0,80
Justice League Unlimited,TV-Y7-FV,42,2005,87.0,82
Mighty Morphin Power Rangers,TV-Y7-FV,42,2010,73.0,80
Young Justice,TV-PG,70,2012,71.0,80
The Super Mario Bros. Super Show!,TV-Y7,41,1989,50.0,82
Power Rangers Zeo,TV-Y7-FV,42,1996,56.0,82
Oscar's Oasis,TV-G,35,2011,93.0,82
Transformers Prime,TV-Y7-FV,42,2013,87.0,82
The Adventures of Chuck & Friends,TV-Y,10,2011,66.0,82
Transformers: Rescue Bots,TV-Y7,41,2016,81.0,82
Thomas & Friends: King of the Railway,TV-G,35,2013,69.0,82
LEGO: Marvel Super Heroes: Maximum Overload,TV-Y7-FV,42,2013,77.0,82
Max Steel,TV-Y7-FV,42,2014,67.0,82
Transformers Prime Beast Hunters: Predacons Rising,TV-Y7-FV,42,2013,88.0,82
Agent F.O.X.,PG,60,2014,61.0,82
VeggieTales in the House,TV-Y,10,2016,94.0,82
Thunder and the House Of Magic,TV-G,35,2013,47.0,82
All Hail King Julien,TV-Y7-FV,42,2016,71.0,80
Kong: King of the Apes,TV-Y7-FV,42,2016,65.0,82
Marvel Super Hero Adventures: Frost Fight!,PG,60,2015,95.0,82
Slugterra: Slug Fu Showdown,TV-Y7-FV,42,2015,46.0,82
Dinotrux,TV-Y7-FV,42,2017,54.0,82
Edgar Rice Burroughs' Tarzan and Jane,TV-Y7-FV,42,2017,81.0,82
Lego DC Comics: Batman Be-Leaguered,TV-Y7,41,2014,95.0,82
Power Rangers Dino Charge,TV-Y7,41,2015,85.0,82
Bunks,TV-PG,70,2013,65.0,82
The Jungle Book,PG,60,2016,97.0,80
The Angry Birds Movie,PG,60,2016,92.0,80
The Secret Life of Pets,PG,60,2016,64.0,81
The Furchester Hotel,TV-Y,10,2015,81.0,82
Marvel's Hulk: Where Monsters Dwell,PG,60,2016,47.0,82
Angry Birds,TV-G,35,2013,76.0,82
Talking Tom and Friends,TV-G,35,2016,61.0,80
Nexo Knights,TV-Y7-FV,42,2015,76.0,82
An Extremely Goofy Movie,G,35,1999,67.0,80
The Iron Giant,PG,60,1999,83.0,80
The Cat in the Hat Knows a Lot About That!,TV-Y,10,2014,75.0,82
Bob the Builder,TV-Y,10,2015,63.0,82
Beyblade: Metal Fusion,TV-Y7,41,2009,77.0,82
Ninja Turtles: The Next Mutation,TV-Y7-FV,42,1997,69.0,82
DreamWorks Kung Fu Panda Awesome Secrets,TV-PG,70,2008,71.0,82
LEGO Ninjago: Masters of Spinjitzu,TV-Y7-FV,42,2015,67.0,80
Goosebumps,TV-Y7,41,1998,88.0,80
LEGO Ninjago: Masters of Spinjitzu: Way of the Ninja,TV-Y7-FV,42,2011,70.0,82
Super Buddies,G,35,2013,77.0,82
Tad: The Lost Explorer,TV-PG,70,2012,92.0,82
PokÌ©mon: Indigo League,TV-Y,10,2000,74.0,80
Ratchet and Clank,PG,60,2016,74.0,80
Pac-Man and the Ghostly Adventures,TV-Y7,41,2014,95.0,82
Iron Man & Captain America: Heroes United,PG,60,2014,52.0,82
Power Rangers Super Megaforce,TV-Y7,41,2014,53.0,82
Chuggington,TV-Y,10,2015,49.0,82
The Adventures of Puss in Boots,TV-Y7-FV,42,2016,78.0,80
Some Assembly Required,TV-G,35,2015,95.0,82
Kulipari: An Army of Frogs,TV-Y7-FV,42,2016,48.0,82
Transformers: Robots in Disguise,TV-Y7,41,2016,59.0,82
Robocar Poli,TV-Y,10,2012,55.0,82
LEGO Bionicle: The Journey to One,TV-Y7-FV,42,2016,56.0,82
Voltron: Legendary Defender,TV-Y7-FV,42,2017,72.0,82
Buddy Thunderstruck,TV-PG,70,2017,80.0,82
PokÌ©mon: XY,TV-Y7-FV,42,2015,56.0,80
Power Rangers Dino Super Charge,TV-Y7,41,2016,63.0,82
The Deep,TV-Y7,41,2015,79.0,82
Skylanders Academy,TV-Y7,41,2016,48.0,82
Growing Up Wild,G,35,2016,80.0,80
The Little Rascals,PG,60,1994,86.0,80
Flubber,PG,60,1997,83.0,80
Tarzan,G,35,1999,95.0,80
The Emperor's New Groove,G,35,2000,95.0,80
Lilo & Stitch,PG,60,2002,95.0,80
Scooby-Doo 2: Monsters Unleashed,PG,60,2004,82.0,80
The Three Musketeers,G,35,2004,78.0,82
Mickey's Twice Upon a Christmas,G,35,2004,87.0,82
The Pacifier,PG,60,2005,91.0,80
Bee Movie,PG,60,2007,94.0,80
Kung Fu Panda,PG,60,2008,91.0,80
Super Why!,TV-Y,10,2015,68.0,80
Jessie,TV-G,35,2015,88.0,80
Disney Animation Collection: Vol. 1: Mickey and the Beanstalk,TV-G,35,2009,71.0,82
Lab Rats,TV-Y7,41,2016,85.0,80
Pocoyo,TV-Y,10,2007,67.0,80
Octonauts,TV-Y,10,2015,85.0,82
Dragons: Race to the Edge,TV-Y7-FV,42,2017,88.0,80
Mother Goose Club,TV-Y,10,2016,72.0,82
Little Einsteins,TV-Y,10,2007,70.0,80
Hotel Transylvania 2,PG,60,2015,93.0,80
Dawn of the Croods,TV-Y7,41,2017,72.0,80
Goosebumps,PG,60,2015,90.0,80
Kung Fu Panda 3,PG,60,2016,92.0,80
Home: Adventures with Tip & Oh,TV-Y7,41,2017,86.0,82
Open Season: Scared Silly,PG,60,2015,72.0,80
The Land Before Time XIV: Journey of the Brave,G,35,2016,98.0,82
Alice Through the Looking Glass,PG,60,2016,96.0,80
Ask the StoryBots,TV-Y,10,2016,76.0,82
Goldie & Bear,TV-Y,10,2016,77.0,80
Little Baby Bum: Nursery Rhyme Friends,TV-Y,10,2016,89.0,82
Tayo the Little Bus,TV-Y,10,2014,83.0,82
Antz,PG,60,1998,80.0,80
Chicken Run,G,35,2000,80.0,80
Spy Kids 3: Game Over,PG,60,2003,64.0,80
Annie,PG,60,1982,68.0,80
Mulan 2,G,35,2004,85.0,80
Lilo & Stitch 2: Stitch Has A Glitch,PG,60,2005,85.0,80
DreamWorks Shrek's Swamp Stories,TV-PG,70,2008,56.0,80
Beverly Hills Chihuahua 3: Viva La Fiesta!,G,35,2012,65.0,82
DreamWorks Spooky Stories: Volume 2,TV-PG,70,2011,56.0,82
The Magic School Bus,TV-Y,10,1997,81.0,80
Sammy 2,TV-PG,70,2012,62.0,82
Sofia the First,TV-Y,10,2015,82.0,80
Barbie Life in the Dreamhouse,TV-G,35,2012,85.0,80
Paddington,PG,60,2014,70.0,80
Larva,TV-G,35,2015,81.0,82
Sid the Science Kid,TV-Y,10,2008,76.0,82
Minions,PG,60,2015,96.0,80
The Little Prince,PG,60,2015,71.0,80
Word Party,TV-Y,10,2016,90.0,82
Cool Runnings,PG,60,1993,81.0,80
Homeward Bound: The Incredible Journey,G,35,1993,96.0,80
Anastasia,G,35,1997,93.0,80
Missione Hamburger,PG,60,1997,75.0,80
Curious George,G,35,2006,55.0,80
Secret of the Wings,G,35,2012,65.0,80
Clifford the Big Red Dog,TV-Y,10,2002,91.0,82
Walt Disney Animation Studios Short Films Collection,TV-G,35,2015,84.0,80
Bunk'd,TV-G,35,2016,61.0,80
The BFG,PG,60,2016,97.0,80
The Real Ghostbusters,TV-Y7,41,1990,65.0,80
Babe: Pig in the City,G,35,1998,57.0,82
The Prince of Egypt,PG,60,1998,81.0,80
Paulie,PG,60,1998,97.0,82
The Road to El Dorado,PG,60,2000,91.0,80
Fantasia 2000,G,35,2000,88.0,82
Pocahontas II: Journey to a New World,TV-G,35,1998,64.0,80
Fantasia,G,35,1940,61.0,80
An American Tail,G,35,1986,67.0,80
Pooh's Grand Adventure: The Search for Christopher Robin,G,35,1997,97.0,82
FernGully 2: The Magical Rescue,G,35,1998,99.0,82
Balto 2: Wolf Quest,G,35,2001,80.0,82
Balto,G,35,1995,64.0,80
Back to the Secret Garden,G,35,2002,53.0,82
The Brave Little Toaster Goes to Mars,G,35,1998,82.0,82
The Brave Little Toaster to the Rescue,G,35,1997,82.0,82
An American Tail: The Mystery of the Night Monster,G,35,1999,70.0,82
An American Tail: Fievel Goes West,G,35,1991,83.0,82
The Last Unicorn,G,35,1982,49.0,82
Brother Bear 2,G,35,2006,57.0,80
The Fox and the Hound 2,G,35,2006,92.0,82
Jetsons: The Movie,G,35,1990,84.0,82
A Monster in Paris,PG,60,2011,66.0,82
The Gruffalo,TV-Y,10,2009,46.0,82
DreamWorks How to Train Your Dragon Legends,TV-PG,70,2011,70.0,82
Ernest & Celestine,PG,60,2012,48.0,82
Animaniacs,TV-Y7,41,1997,72.0,80
Disney Animation Collection: Vol. 4: The Tortoise and the Hare,TV-G,35,2009,80.0,82
PopPixie,TV-G,35,2011,51.0,82
Jack and the Cuckoo-Clock Heart,PG,60,2013,68.0,82
The Pirate Fairy,G,35,2014,57.0,80
Axel: The Biggest Little Hero,PG,60,2013,53.0,82
The Adventures of Figaro Pho,TV-Y7,41,2015,77.0,82
The Boxcar Children,G,35,2014,83.0,82
Pet Pals in Windland,TV-G,35,2014,90.0,82
Alpha and Omega: Dino Digs,TV-G,35,2016,72.0,82
Quackerz,PG,60,2016,76.0,82
Hatched,TV-Y7,41,2013,56.0,82
Blinky Bill: The Movie,PG,60,2015,63.0,82
FernGully: The Last Rainforest,G,35,1992,70.0,80
The Lizzie McGuire Movie,PG,60,2003,82.0,82
Recess: Taking the Fifth Grade,G,35,2003,47.0,82
The Very Hungry Caterpillar and Other Stories,TV-Y,10,1993,55.0,82
The Hero of Color City,G,35,2014,56.0,82
The Little Engine That Could,G,35,2011,58.0,82
Delhi Safari,PG,60,2012,61.0,82
Pound Puppies,TV-Y,10,2013,76.0,82
Monster Math Squad,TV-G,35,2012,72.0,82
Care Bears: Welcome to Care-a-Lot,TV-Y,10,2012,95.0,82
Clifford's Puppy Days,TV-Y,10,2003,65.0,82
Dinosaur King,TV-Y7-FV,42,2008,84.0,82
Ribbit,PG,60,2014,49.0,82
Rooster Doodle-doo,TV-G,35,2014,97.0,82
My Animal Friends,TV-Y,10,2013,50.0,82
Worms,PG,60,2013,48.0,82
Puffin Rock,TV-Y,10,2016,72.0,82
The Mr. Peabody and Sherman Show,TV-Y7,41,2017,89.0,82
Zoobabu,TV-Y,10,2010,95.0,82
Gon,TV-G,35,2013,79.0,82
Sid the Science Kid: The Movie,TV-Y,10,2012,70.0,82
LEGO Jurassic World: The Indominus Escape,TV-Y7,41,2016,52.0,82
Harry and the Hendersons,PG,60,1987,58.0,80
Cats & Dogs,PG,60,2001,92.0,82
Atlantis: The Lost Empire,PG,60,2001,96.0,80
Tarzan & Jane,G,35,2002,54.0,82
Atlantis: Milo's Return,G,35,2003,79.0,80
Batched,G,35,2000,61.0,82
Winnie the Pooh: Springtime with Roo,G,35,2004,65.0,82
Pooh's Heffalump Movie,G,35,2005,51.0,82
Kronk's New Groove,G,35,2005,61.0,82
Corpse Bride,PG,60,2005,91.0,80
Disney Animation Collection: Vol. 2: Three Little Pigs,TV-G,35,2009,66.0,82
Underdogs,PG,60,2013,79.0,82
Yellowbird,PG,60,2014,61.0,82
Mr. Magoo,PG,60,1997,62.0,82
Air Bud: World Pup,G,35,2000,67.0,82
Baby's Day Out,PG,60,1994,71.0,80
Blank Check,PG,60,1994,93.0,80
Heavyweights,PG,60,1995,74.0,80
Inspector Gadget 2,G,35,2003,89.0,82
Air Bud: Spikes Back,G,35,2003,81.0,82
D2: The Mighty Ducks,PG,60,1994,70.0,80
"Honey, I Shrunk the Kids",PG,60,1989,80.0,80
Air Buddies,PG,60,2006,59.0,82
Dr. Dolittle: Tail to the Chief,PG,60,2008,51.0,82
Flicka 2,PG,60,2010,94.0,82
H2O: Just Add Water,TV-PG,70,2009,74.0,80
Dolphin Tale,PG,60,2011,47.0,82
Step Dogs,TV-PG,70,2013,60.0,82
Mia and Me,TV-Y,10,2015,54.0,82
Russell Madness,PG,60,2015,89.0,82
Wiener Dog Internationals,G,35,2015,97.0,82
Pup Star,G,35,2016,51.0,82
Precious Puppies,TV-G,35,2003,78.0,82
Beary Tales,TV-G,35,2013,63.0,82
